Employee_ID,Effective_Date,Salary_Grade,Stock_Options,Last_Promotion_Date,Base_Salary,Bonus,Total_Compensation
E-00001,2020-12-12 14:36:26.791679773,E,270,2022-02-04,32843165.002468936,6368450.123265755,39481615.125734694
E-00002,2017-12-30 19:45:15.729290245,C,458,2019-03-29,14459078.617233623,2752686.91171671,17669765.528950334
E-00003,2018-01-07 07:09:01.567245155,E,769,2019-12-10,27183153.684390288,5542560.0435859645,33494713.72797625
E-00004,2019-01-12 04:40:30.802948535,E,160,2020-04-04,30133330.9596719,4572207.086396655,34865538.04606856
E-00005,2023-07-04 06:33:53.110891938,D,699,2021-09-02,20744780.15957112,3868906.306804184,25312686.466375303
E-00006,2022-04-15 12:41:18.664374350,D,566,2022-06-21,19278086.377374087,4088738.0717678927,23932824.44914198
E-00007,2018-07-18 07:54:19.652365344,E,840,2019-06-16,17839682.30561945,6119423.611561838,24799105.917181287
E-00008,2019-07-25 16:27:38.408926795,B,339,2019-04-02,11935343.415973207,1935297.8454409917,14209641.261414198
E-00009,2022-02-03 01:54:39.090432732,C,205,2022-01-09,21290179.648412757,2267493.8100173865,23762673.45843014
E-00010,2016-01-05 03:24:24.126537332,B,771,2023-02-09,17215399.73998623,2068547.3124759882,20054947.052462216
E-00011,2021-11-05 12:57:02.466988199,D,701,2019-10-23,24365966.24730012,4527352.478743187,29594318.726043306
E-00012,2020-08-05 04:05:59.704657252,B,216,2021-02-02,10470128.153350174,2288600.9849434583,12974729.138293633
E-00013,2015-01-14 20:13:04.549170771,E,64,2020-06-04,25938467.998164248,5611676.288840868,31614144.287005115
E-00014,2016-07-31 19:03:55.160940651,C,498,2020-08-15,21722337.603084408,3406660.445804005,25626998.04888841
E-00015,2013-02-05 00:57:56.937546920,B,230,2021-10-14,10475540.13135755,2439858.7903139284,13145398.92167148
E-00016,2021-03-19 01:31:33.065210253,E,98,2020-11-14,35008772.51538257,5296561.384328971,40403333.89971154
E-00017,2017-01-29 08:26:32.452990529,E,942,2023-01-25,32806768.51957891,5736122.350669257,39484890.87024817
E-00018,2021-12-20 05:32:20.925541066,C,392,2019-07-26,16405446.439939195,2963481.5475151525,19760927.987454347
E-00019,2019-04-25 11:27:48.248535873,A,563,2021-10-17,13807064.981251685,1003800.0662124299,15373865.047464116
E-00020,2016-08-08 20:04:20.359687027,E,654,2022-04-09,39737522.99604824,5823733.076975142,46215256.07302339
E-00021,2020-12-16 04:12:08.363012666,B,556,2023-05-17,17746206.353106223,2131500.443863874,20433706.796970095
E-00022,2023-05-24 16:48:54.733664605,D,339,2023-12-27,20279597.293443408,4600628.708471537,25219226.001914944
E-00023,2011-04-23 00:34:29.734434165,A,230,2019-07-09,11486739.63461489,926434.8551734478,12643174.489788339
E-00024,2018-05-31 23:00:49.020122113,D,972,2023-11-04,17648475.22719463,3594685.424294781,22215160.65148941
E-00025,2022-09-17 05:04:45.074452128,E,224,2022-06-11,32717617.959201057,4833939.091648934,37775557.05084999
E-00026,2019-02-24 04:54:46.183330424,A,691,2022-02-10,11969033.319976442,994524.7108829683,13654558.03085941
E-00027,2014-03-10 19:25:12.970941826,B,386,2022-02-10,13674701.930321962,1966333.9659275291,16027035.896249492
E-00028,2022-08-21 10:31:29.747046238,A,402,2023-07-20,11930576.460589513,766264.3924760936,13098840.853065606
E-00029,2024-11-30 06:50:26.800948671,D,438,2019-07-22,15390615.246832807,3465402.64069407,19294017.887526877
E-00030,2019-05-10 01:12:11.053557932,E,883,2023-06-22,33521142.56280162,7190455.625809979,41594598.1886116
E-00031,2016-12-17 17:49:05.819997690,A,200,2022-02-21,15867679.601856237,1016194.1611889134,17083873.76304515
E-00032,2018-04-30 16:17:44.100894905,D,954,2020-02-07,26437558.072081346,4484386.504678139,31875944.576759487
