Employee_ID,Date_of_Birth,Gender,Ethnicity,Hire_Date,Termination_Date,Termination_Reason,Department,Job_Title,Job_Level,Manager_ID,Location,Employment_Type,Tenure_in_Months,Time_in_Current_Role
E-00001,1984-09-26 15:11:28.484841474,Non-Binary,Asian,2020-02-19 23:20:55.907097374,2022-04-22 05:13:26.784417206,Voluntary,HR,Executive,L5,E-08323,"VI, Lagos",Full-Time,26,2
E-00002,1993-10-09 02:24:29.500914294,Non-Binary,White,2012-05-13 07:19:07.187460712,,,Finance,Manager,L5,E-08667,Abuja,Contract,153,15
E-00003,1986-11-09 20:10:25.258797675,Female,Asian,2014-12-21 22:18:31.783952623,2019-08-27 16:22:05.880331697,Retirement,Marketing,Analyst,L2,E-08793,Port Harcourt,Part-Time,56,50
E-00004,1985-01-07 21:57:45.341485358,Male,White,2018-11-23 17:43:18.613607903,2019-08-22 21:12:29.397621130,Voluntary,HR,Manager,L1,E-01586,Port Harcourt,Part-Time,9,6
E-00005,1980-05-28 14:44:12.243522143,Female,Other,2022-08-09 14:06:27.010897122,2024-11-08 15:35:06.993149821,Retirement,Finance,Analyst,L5,E-06864,"Ikorodu, Lagos",Part-Time,27,15
E-00006,1996-07-18 16:35:35.828740711,Male,Hispanic,2017-11-22 04:45:59.732615128,,,Marketing,Engineer,L5,E-00065,"Ikorodu, Lagos",Contract,86,9
E-00007,1995-01-29 05:40:18.846427506,Male,Asian,2012-08-02 02:29:22.670619092,2022-05-24 18:13:52.497016316,Involuntary,Sales,Engineer,L2,E-06185,Port Harcourt,Contract,119,73
E-00008,1991-03-16 20:08:10.667427901,Male,Other,2019-06-27 04:04:59.642324659,2024-05-18 00:23:54.092934213,Voluntary,Marketing,Engineer,L3,E-03841,"Ikorodu, Lagos",Part-Time,59,55
E-00009,1995-01-17 02:30:15.049311359,Female,Black,2019-03-29 05:27:27.379709421,,,Finance,Analyst,L3,E-00864,Abuja,Full-Time,70,52
E-00010,1989-08-23 20:45:21.440540658,Female,Other,2013-03-29 15:20:53.145501357,2022-02-15 17:33:34.045164198,Voluntary,HR,Engineer,L4,E-09790,"Ikorodu, Lagos",Full-Time,108,6
E-00011,1986-11-14 06:03:17.104813845,Male,Hispanic,2021-08-08 20:52:58.785347786,2024-05-06 21:40:50.078410964,Retirement,Engineering,Analyst,L1,E-01307,"VI, Lagos",Full-Time,33,13
E-00012,1997-05-18 11:56:34.247233337,Male,Asian,2015-06-05 20:49:07.070914784,,,HR,Manager,L4,E-00664,Abuja,Contract,116,32
E-00013,1988-06-27 10:27:28.288080388,Female,Black,2010-11-05 02:36:04.833225604,,,Finance,Manager,L2,E-07555,"Ikorodu, Lagos",Full-Time,172,113
E-00014,2000-12-09 13:02:51.016538495,Male,White,2016-07-14 17:16:48.197910820,,,Marketing,Executive,L1,E-06529,Abuja,Part-Time,103,2
E-00015,1988-10-20 18:06:54.994711115,Male,Hispanic,2011-01-19 21:23:53.672156044,2014-06-06 16:42:55.781385139,Retirement,Marketing,Executive,L2,E-00198,"VI, Lagos",Contract,41,16
E-00016,1996-09-19 00:46:47.837170862,Male,Other,2021-02-27 11:42:09.094078820,2022-01-02 11:39:32.687136535,Involuntary,HR,Executive,L4,E-08681,"Ikorodu, Lagos",Contract,10,2
