Employee_ID,Exit_Date,Primary_Reason_for_Leaving,Secondary_Reason,Like_Most_About_Company,Improvement_Areas
E-07276,2020-12-03 21:49:24.037372202,Work-Life Balance,Commute,The people and the challenging projects.,More transparency in promotion decisions.
E-05114,2015-08-02 20:39:00.516934165,Job Role Mismatch,Burnout,Company values and mission.,Improve compensation structure.
E-00349,2022-01-16 06:04:43.926727293,Management,Burnout,Supportive team environment.,Improve compensation structure.
E-04671,2016-09-26 07:13:26.765581865,Job Role Mismatch,Burnout,Learning opportunities.,Reduce micromanagement.
E-08246,2021-06-09 20:23:35.833093195,Job Role Mismatch,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-06837,2019-11-16 19:17:42.213218115,Career Growth,Burnout,Supportive team environment.,Reduce micromanagement.
E-08955,2024-08-30 09:33:17.496806191,Management,Lack of Training,Company values and mission.,More transparency in promotion decisions.
E-04214,2021-10-10 14:02:34.262912284,Management,Commute,The people and the challenging projects.,Better leadership communication.
E-03874,2023-08-27 08:06:18.965380356,Management,Company Culture,The people and the challenging projects.,Better leadership communication.
E-02480,2024-05-30 10:43:11.311277332,Job Role Mismatch,Commute,Supportive team environment.,Offer more career development programs.
E-00139,2021-12-01 17:54:18.807153666,Work-Life Balance,Burnout,The people and the challenging projects.,Offer more career development programs.
E-04440,2014-11-09 05:44:38.919647793,Management,Company Culture,Flexible work arrangements.,More transparency in promotion decisions.
E-04813,2024-01-06 12:41:39.823936923,Job Role Mismatch,Poor Leadership,The people and the challenging projects.,Better leadership communication.
E-02149,2018-01-04 18:25:43.218021353,Career Growth,Lack of Training,Learning opportunities.,Offer more career development programs.
E-03054,2024-09-21 01:50:53.586648299,Work-Life Balance,Burnout,Supportive team environment.,Improve compensation structure.
E-07353,2015-04-11 01:33:51.198392456,Career Growth,Burnout,Learning opportunities.,Reduce micromanagement.
E-02110,2019-08-23 06:31:53.231849223,Work-Life Balance,Lack of Training,Company values and mission.,Offer more career development programs.
E-05822,2024-10-19 13:46:49.441822034,Job Role Mismatch,Lack of Training,Learning opportunities.,More transparency in promotion decisions.
E-04949,2015-07-16 15:43:38.195537686,Compensation,Poor Leadership,Flexible work arrangements.,Better leadership communication.
E-03120,2017-08-04 13:18:06.336959980,Work-Life Balance,Burnout,Flexible work arrangements.,More transparency in promotion decisions.
E-09632,2017-02-06 22:02:47.986560426,Career Growth,Burnout,Learning opportunities.,Reduce micromanagement.
E-09268,2014-04-19 12:08:51.699258386,Job Role Mismatch,Commute,Company values and mission.,Reduce micromanagement.
E-01529,2021-04-20 17:33:19.028317167,Work-Life Balance,Company Culture,The people and the challenging projects.,More transparency in promotion decisions.
E-09876,2021-10-03 00:58:35.863005304,Compensation,Company Culture,Flexible work arrangements.,Offer more career development programs.
E-03237,2021-10-22 22:39:48.501619948,Compensation,Commute,Learning opportunities.,Offer more career development programs.
E-04910,2024-11-20 17:47:02.457076513,Management,Company Culture,Learning opportunities.,Better leadership communication.
E-00334,2024-02-01 19:12:03.934244977,Management,Lack of Training,Learning opportunities.,Better leadership communication.
E-07081,2024-07-11 03:49:21.287400956,Career Growth,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-09592,2024-11-18 05:49:46.310593163,Work-Life Balance,Company Culture,Supportive team environment.,Improve compensation structure.
E-05667,2020-05-02 16:22:48.689023799,Work-Life Balance,Commute,Company values and mission.,Better leadership communication.
E-09698,2018-03-26 20:50:13.541229867,Management,Poor Leadership,Supportive team environment.,Improve compensation structure.
E-09170,2021-10-29 00:37:44.941569504,Work-Life Balance,Company Culture,Company values and mission.,More transparency in promotion decisions.
E-02587,2015-12-26 04:02:48.217651906,Work-Life Balance,Company Culture,Company values and mission.,Offer more career development programs.
E-07122,2022-05-27 03:11:16.977519872,Compensation,Poor Leadership,Learning opportunities.,Improve compensation structure.
E-01503,2024-08-07 10:31:40.816685328,Management,Commute,Flexible work arrangements.,Improve compensation structure.
E-00342,2024-07-17 15:10:28.883897166,Job Role Mismatch,Poor Leadership,Learning opportunities.,More transparency in promotion decisions.
E-00193,2021-11-14 17:32:24.300416053,Management,Commute,The people and the challenging projects.,Reduce micromanagement.
E-07990,2014-06-29 00:20:47.147422585,Job Role Mismatch,Lack of Training,Company values and mission.,Better leadership communication.
E-06309,2018-04-23 06:53:33.063535924,Compensation,Commute,Flexible work arrangements.,More transparency in promotion decisions.
E-02918,2022-12-16 19:52:23.511460301,Career Growth,Lack of Training,Company values and mission.,Reduce micromanagement.
E-01690,2024-03-07 19:13:31.851961305,Work-Life Balance,Lack of Training,Company values and mission.,More transparency in promotion decisions.
E-07388,2023-07-04 23:54:24.082391582,Compensation,Commute,Learning opportunities.,Offer more career development programs.
E-05025,2020-05-11 05:30:14.793524486,Work-Life Balance,Burnout,Flexible work arrangements.,More transparency in promotion decisions.
E-06388,2018-12-09 15:47:04.097923151,Career Growth,Commute,Flexible work arrangements.,More transparency in promotion decisions.
E-08559,2021-04-09 07:22:03.159095476,Career Growth,Company Culture,Company values and mission.,Offer more career development programs.
E-08870,2023-09-07 18:18:28.882323143,Compensation,Company Culture,Flexible work arrangements.,Better leadership communication.
E-08488,2024-05-06 10:18:42.332395446,Career Growth,Burnout,Flexible work arrangements.,Reduce micromanagement.
E-05140,2022-10-24 13:33:25.813238765,Job Role Mismatch,Lack of Training,Learning opportunities.,Improve compensation structure.
E-00614,2024-03-09 15:06:56.698248026,Career Growth,Burnout,Supportive team environment.,Better leadership communication.
E-00913,2020-07-29 16:45:35.689157334,Work-Life Balance,Company Culture,The people and the challenging projects.,More transparency in promotion decisions.
E-05440,2024-06-25 22:34:56.013347276,Work-Life Balance,Burnout,Supportive team environment.,Improve compensation structure.
E-02019,2022-06-05 07:54:04.678765262,Work-Life Balance,Commute,Flexible work arrangements.,Offer more career development programs.
E-06771,2022-11-10 22:47:23.632610323,Work-Life Balance,Burnout,Company values and mission.,Better leadership communication.
E-08469,2019-05-16 15:31:22.758461500,Job Role Mismatch,Lack of Training,The people and the challenging projects.,Reduce micromanagement.
E-04248,2021-09-08 15:17:05.070921480,Management,Commute,The people and the challenging projects.,Better leadership communication.
E-06221,2020-10-18 08:14:18.357386498,Compensation,Poor Leadership,Company values and mission.,Better leadership communication.
E-03701,2017-08-06 04:47:40.932584309,Work-Life Balance,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-08796,2020-10-18 05:51:40.099800452,Career Growth,Company Culture,Company values and mission.,Offer more career development programs.
E-01483,2016-09-02 23:11:12.294727566,Work-Life Balance,Burnout,The people and the challenging projects.,Offer more career development programs.
E-06734,2016-12-08 09:28:48.054184065,Career Growth,Commute,Supportive team environment.,Better leadership communication.
E-07176,2022-07-30 07:10:30.212204461,Career Growth,Poor Leadership,The people and the challenging projects.,Offer more career development programs.
E-00057,2018-11-19 13:07:23.223363207,Work-Life Balance,Commute,Learning opportunities.,Improve compensation structure.
E-03967,2019-09-17 16:56:31.037032253,Job Role Mismatch,Company Culture,Company values and mission.,Improve compensation structure.
E-03674,2024-09-15 19:55:28.251451277,Career Growth,Commute,The people and the challenging projects.,Reduce micromanagement.
E-06715,2012-09-09 08:46:24.684437742,Career Growth,Poor Leadership,Company values and mission.,Offer more career development programs.
E-02829,2020-09-12 13:15:34.561990116,Work-Life Balance,Burnout,Learning opportunities.,Reduce micromanagement.
E-08520,2015-08-09 17:19:27.212292879,Career Growth,Lack of Training,The people and the challenging projects.,More transparency in promotion decisions.
E-01241,2018-09-24 06:53:31.700307514,Career Growth,Commute,The people and the challenging projects.,Improve compensation structure.
E-01967,2019-06-01 15:58:49.834885220,Work-Life Balance,Lack of Training,Learning opportunities.,Better leadership communication.
E-03032,2011-07-04 04:40:46.961642147,Work-Life Balance,Company Culture,Learning opportunities.,Improve compensation structure.
E-07724,2018-01-20 23:26:09.724142301,Compensation,Burnout,Learning opportunities.,More transparency in promotion decisions.
E-07090,2018-05-02 03:42:30.488920268,Job Role Mismatch,Burnout,Company values and mission.,Better leadership communication.
E-04352,2020-10-13 00:35:48.384730826,Job Role Mismatch,Commute,Learning opportunities.,Offer more career development programs.
E-00889,2024-11-22 01:52:04.602491644,Career Growth,Burnout,Company values and mission.,Offer more career development programs.
E-05466,2023-12-24 10:02:17.250327228,Job Role Mismatch,Commute,Supportive team environment.,Improve compensation structure.
E-06371,2023-05-30 15:14:32.499366218,Career Growth,Commute,The people and the challenging projects.,Better leadership communication.
E-06972,2016-08-06 14:17:16.359066539,Compensation,Lack of Training,The people and the challenging projects.,Better leadership communication.
E-07411,2016-07-13 12:30:45.941759199,Work-Life Balance,Burnout,Flexible work arrangements.,Reduce micromanagement.
E-06595,2019-04-20 07:23:04.409184352,Work-Life Balance,Commute,Supportive team environment.,More transparency in promotion decisions.
E-04150,2022-12-14 04:01:12.873875260,Work-Life Balance,Lack of Training,Learning opportunities.,Offer more career development programs.
E-04953,2022-06-15 05:20:16.289941058,Job Role Mismatch,Poor Leadership,Learning opportunities.,Improve compensation structure.
E-04080,2024-05-05 05:17:21.685630089,Compensation,Lack of Training,Supportive team environment.,Better leadership communication.
E-00375,2024-08-26 01:56:46.406629662,Job Role Mismatch,Lack of Training,Learning opportunities.,Offer more career development programs.
E-03006,2016-09-23 17:40:06.377719807,Job Role Mismatch,Commute,Flexible work arrangements.,Improve compensation structure.
E-06234,2018-11-24 10:02:01.533592918,Compensation,Company Culture,Company values and mission.,Offer more career development programs.
E-03816,2024-10-02 03:35:47.000148906,Compensation,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-03933,2022-10-04 12:33:04.588516462,Compensation,Company Culture,Supportive team environment.,Offer more career development programs.
E-05910,2023-06-23 09:29:27.087624219,Compensation,Lack of Training,The people and the challenging projects.,Reduce micromanagement.
E-07651,2019-11-29 12:48:30.132318924,Work-Life Balance,Commute,Company values and mission.,More transparency in promotion decisions.
E-08213,2022-01-27 10:54:30.277465219,Management,Burnout,Supportive team environment.,Offer more career development programs.
E-00073,2022-12-26 23:12:02.405858641,Management,Lack of Training,Company values and mission.,More transparency in promotion decisions.
E-07720,2022-02-25 05:49:00.265943976,Compensation,Lack of Training,Learning opportunities.,Offer more career development programs.
E-06486,2020-07-13 22:31:45.674576633,Management,Commute,Learning opportunities.,Better leadership communication.
E-05557,2020-09-15 21:31:55.053997222,Management,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-03314,2018-12-27 05:29:36.241754043,Compensation,Lack of Training,Company values and mission.,Reduce micromanagement.
E-02783,2017-01-01 01:02:41.155945002,Management,Poor Leadership,Company values and mission.,More transparency in promotion decisions.
E-07786,2024-09-17 00:28:55.496659952,Job Role Mismatch,Poor Leadership,Company values and mission.,Better leadership communication.
E-07434,2020-11-11 23:55:02.257033275,Career Growth,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-03443,2021-11-06 12:55:27.162703940,Career Growth,Commute,Company values and mission.,Reduce micromanagement.
E-07418,2021-06-11 08:33:46.846105548,Compensation,Poor Leadership,Learning opportunities.,Better leadership communication.
E-09397,2014-12-18 15:51:14.455560302,Work-Life Balance,Commute,Flexible work arrangements.,Better leadership communication.
E-04646,2022-04-05 14:34:13.090756105,Compensation,Company Culture,Company values and mission.,More transparency in promotion decisions.
E-03724,2022-07-29 21:38:16.862563480,Work-Life Balance,Commute,Flexible work arrangements.,Better leadership communication.
E-02291,2020-07-24 03:34:38.184749367,Career Growth,Lack of Training,Learning opportunities.,Better leadership communication.
E-08504,2019-12-27 10:56:50.401608500,Compensation,Poor Leadership,Company values and mission.,Improve compensation structure.
E-09791,2022-12-25 13:43:12.033901980,Job Role Mismatch,Commute,The people and the challenging projects.,More transparency in promotion decisions.
E-03840,2023-12-09 06:07:32.618443935,Management,Burnout,The people and the challenging projects.,More transparency in promotion decisions.
E-01379,2017-11-01 06:12:59.940168830,Work-Life Balance,Commute,Flexible work arrangements.,Better leadership communication.
E-00625,2022-12-04 20:23:05.362312669,Management,Poor Leadership,The people and the challenging projects.,Improve compensation structure.
E-07075,2019-03-25 17:18:21.398985878,Management,Company Culture,The people and the challenging projects.,Offer more career development programs.
E-07100,2021-11-01 18:41:52.342117157,Compensation,Company Culture,The people and the challenging projects.,Reduce micromanagement.
E-01960,2016-04-17 20:25:45.757823749,Management,Poor Leadership,Learning opportunities.,More transparency in promotion decisions.
E-06211,2019-11-30 10:56:53.728269255,Job Role Mismatch,Lack of Training,The people and the challenging projects.,Improve compensation structure.
E-05409,2021-11-11 10:30:25.258779468,Management,Lack of Training,Supportive team environment.,Improve compensation structure.
E-07887,2023-11-22 12:17:13.396091086,Compensation,Company Culture,Company values and mission.,Better leadership communication.
E-03684,2017-01-14 18:21:18.460583558,Job Role Mismatch,Company Culture,The people and the challenging projects.,Reduce micromanagement.
E-06076,2021-06-10 03:11:53.420212601,Career Growth,Poor Leadership,The people and the challenging projects.,More transparency in promotion decisions.
E-03312,2020-04-04 09:01:31.066859944,Management,Lack of Training,The people and the challenging projects.,Offer more career development programs.
E-04019,2023-06-22 21:17:52.594680467,Compensation,Company Culture,Supportive team environment.,Better leadership communication.
E-09777,2024-08-26 06:42:31.117042402,Career Growth,Lack of Training,The people and the challenging projects.,More transparency in promotion decisions.
E-01169,2020-12-21 23:10:55.815878953,Career Growth,Company Culture,The people and the challenging projects.,More transparency in promotion decisions.
E-01630,2018-08-11 02:20:02.042690397,Work-Life Balance,Commute,Company values and mission.,Improve compensation structure.
E-02686,2020-08-08 17:01:04.094678443,Job Role Mismatch,Burnout,Supportive team environment.,Reduce micromanagement.
E-03050,2019-03-07 19:08:45.843475925,Management,Commute,Supportive team environment.,Offer more career development programs.
E-01671,2019-07-14 21:04:57.909823069,Compensation,Company Culture,The people and the challenging projects.,Reduce micromanagement.
E-01887,2020-09-07 08:57:08.770480090,Work-Life Balance,Burnout,Supportive team environment.,Improve compensation structure.
E-05235,2018-05-01 21:51:37.313139389,Job Role Mismatch,Burnout,Flexible work arrangements.,Offer more career development programs.
E-03360,2015-10-19 13:22:26.739741750,Work-Life Balance,Company Culture,Supportive team environment.,Offer more career development programs.
E-09753,2022-12-26 00:21:54.953076815,Job Role Mismatch,Company Culture,Supportive team environment.,Better leadership communication.
E-03875,2024-11-22 19:24:44.352459685,Job Role Mismatch,Lack of Training,Supportive team environment.,Offer more career development programs.
E-01427,2020-10-05 12:00:35.182397778,Management,Company Culture,Learning opportunities.,More transparency in promotion decisions.
E-04556,2018-08-03 17:52:22.357890894,Job Role Mismatch,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-04849,2012-01-07 04:53:14.129164365,Work-Life Balance,Company Culture,Learning opportunities.,Reduce micromanagement.
E-05019,2022-07-11 14:51:44.854655385,Job Role Mismatch,Poor Leadership,Supportive team environment.,Better leadership communication.
E-04151,2013-11-01 10:49:16.641752006,Management,Company Culture,Flexible work arrangements.,Offer more career development programs.
E-02314,2024-12-02 07:15:31.054877639,Management,Lack of Training,Supportive team environment.,Improve compensation structure.
E-07506,2020-02-07 15:51:45.641002048,Work-Life Balance,Poor Leadership,The people and the challenging projects.,More transparency in promotion decisions.
E-08820,2020-11-18 05:55:31.826888523,Career Growth,Commute,Flexible work arrangements.,Better leadership communication.
E-02922,2022-05-31 20:18:09.498359139,Career Growth,Poor Leadership,Learning opportunities.,Offer more career development programs.
E-00253,2022-01-05 18:52:15.669159910,Job Role Mismatch,Lack of Training,Company values and mission.,Improve compensation structure.
E-06208,2019-01-21 22:06:06.920470211,Compensation,Poor Leadership,Flexible work arrangements.,Offer more career development programs.
E-05030,2024-09-13 08:46:40.764040431,Job Role Mismatch,Company Culture,Learning opportunities.,Better leadership communication.
E-09986,2012-08-04 00:28:52.383008158,Work-Life Balance,Company Culture,Flexible work arrangements.,Improve compensation structure.
E-08531,2020-06-30 16:28:10.191973088,Work-Life Balance,Lack of Training,Flexible work arrangements.,Improve compensation structure.
E-01442,2024-04-24 21:20:33.803217268,Work-Life Balance,Burnout,Supportive team environment.,Improve compensation structure.
E-03832,2022-05-26 20:32:38.119628068,Work-Life Balance,Company Culture,The people and the challenging projects.,Improve compensation structure.
E-00767,2020-10-20 17:07:32.482655324,Work-Life Balance,Commute,Company values and mission.,Offer more career development programs.
E-05171,2023-10-16 13:26:56.205657947,Management,Lack of Training,Learning opportunities.,Improve compensation structure.
E-00111,2024-11-19 08:28:26.258388348,Career Growth,Poor Leadership,Flexible work arrangements.,Offer more career development programs.
E-01956,2013-09-10 08:56:55.745030120,Work-Life Balance,Poor Leadership,Company values and mission.,Improve compensation structure.
E-08161,2023-01-17 21:24:08.906668764,Compensation,Commute,Flexible work arrangements.,Improve compensation structure.
E-04882,2024-01-22 20:09:03.560527969,Compensation,Company Culture,The people and the challenging projects.,Better leadership communication.
E-07206,2017-10-23 19:21:44.779373942,Compensation,Lack of Training,Company values and mission.,Offer more career development programs.
E-09273,2024-05-26 01:53:42.850825862,Compensation,Commute,Learning opportunities.,Offer more career development programs.
E-00330,2024-11-30 08:01:00.422397012,Management,Company Culture,Flexible work arrangements.,Reduce micromanagement.
E-06836,2016-01-06 06:25:25.742882184,Compensation,Lack of Training,The people and the challenging projects.,Better leadership communication.
E-01077,2017-07-23 02:49:02.127480939,Work-Life Balance,Poor Leadership,Company values and mission.,Offer more career development programs.
E-01826,2019-09-30 17:38:58.134228817,Job Role Mismatch,Lack of Training,Flexible work arrangements.,Better leadership communication.
E-02737,2015-03-14 21:49:14.653475218,Compensation,Burnout,Flexible work arrangements.,Better leadership communication.
E-08133,2022-05-16 22:29:00.343247435,Management,Lack of Training,Learning opportunities.,Better leadership communication.
E-05049,2020-11-23 15:16:26.574390781,Management,Burnout,The people and the challenging projects.,More transparency in promotion decisions.
