Employee_ID,Survey_Date,Engagement_Score,Satisfaction_Score,Work_Life_Balance,Relationship_with_Manager,Career_Development_Opportunities,Performance_Rating_2024,Performance_Rating_2023,Training_Hours_Last_Year,Projects_Completed
E-00001,2024-06-30,4.2,3.7,3.7,3.4,2.7,4.0,3.8,96,4
E-00002,2024-06-30,3.9,3.8,3.7,3.8,3.6,4.0,4.0,64,8
E-00003,2024-06-30,4.3,3.7,2.8,4.0,2.9,4.3,3.9,61,4
E-00004,2024-06-30,4.8,4.1,3.9,4.3,3.1,4.5,3.3,50,6
E-00005,2024-06-30,3.9,4.6,2.5,4.6,3.4,4.2,3.7,76,6
E-00006,2024-06-30,3.9,3.6,3.0,4.5,3.0,4.3,4.1,53,4
E-00007,2024-06-30,4.8,4.5,2.1,3.7,1.9,3.9,4.0,21,3
E-00008,2024-06-30,4.4,3.6,4.6,4.1,3.6,4.0,3.5,81,4
E-00009,2024-06-30,3.8,3.6,3.3,4.2,3.8,4.4,4.0,43,5
E-00010,2024-06-30,4.3,4.4,5.0,4.1,1.9,4.2,4.2,79,7
E-00011,2024-06-30,3.8,4.5,4.1,4.1,2.4,3.9,3.4,56,3
E-00012,2024-06-30,3.8,4.4,3.8,3.5,4.2,4.0,3.0,75,9
E-00013,2024-06-30,4.1,3.3,3.1,3.7,3.1,4.3,4.5,30,1
E-00014,2024-06-30,3.0,3.8,2.8,4.0,3.0,4.3,3.9,84,3
E-00015,2024-06-30,3.1,4.4,3.9,3.0,2.7,3.7,3.6,42,4
E-00016,2024-06-30,3.7,4.0,3.4,4.5,2.4,4.1,3.6,22,8
E-00017,2024-06-30,3.5,3.5,2.6,3.7,2.9,4.0,3.9,52,9
E-00018,2024-06-30,4.2,4.2,2.4,4.5,3.6,4.0,4.2,88,3
E-00019,2024-06-30,3.5,3.6,2.8,4.4,3.0,4.4,3.2,21,4
E-00020,2024-06-30,3.3,4.9,4.8,4.0,3.4,3.9,3.6,32,6
E-00021,2024-06-30,4.7,4.8,5.0,4.6,4.1,3.8,4.5,91,5
E-00022,2024-06-30,3.9,4.3,3.6,4.5,2.7,3.8,4.1,98,5
E-00023,2024-06-30,4.0,4.7,3.6,4.1,3.2,3.9,4.1,69,3
E-00024,2024-06-30,3.3,4.0,3.3,4.0,3.6,3.8,4.0,29,4
E-00025,2024-06-30,3.7,4.4,2.8,4.6,2.4,3.7,3.9,63,7
E-00026,2024-06-30,4.1,4.7,4.5,4.3,3.1,3.7,3.6,92,7
E-00027,2024-06-30,3.4,4.1,4.8,4.6,4.1,3.8,3.6,87,5
E-00028,2024-06-30,4.2,3.9,2.9,3.2,2.8,3.8,4.1,43,6
E-00029,2024-06-30,3.7,3.1,3.4,4.2,3.6,4.1,3.6,51,5
E-00030,2024-06-30,3.9,4.0,3.2,3.6,2.9,3.4,3.9,52,5
E-00031,2024-06-30,3.7,4.4,3.2,4.2,4.1,3.8,3.9,62,6
E-00032,2024-06-30,4.9,4.5,4.3,4.5,2.0,4.0,4.7,19,9
E-00033,2024-06-30,4.0,4.3,2.6,4.9,3.0,4.3,3.7,81,4
E-00034,2024-06-30,3.5,3.7,3.8,3.8,2.1,3.9,4.3,75,6
E-00035,2024-06-30,4.4,3.0,4.0,4.0,2.6,4.0,4.1,95,8
E-00036,2024-06-30,3.4,3.8,3.4,4.2,2.6,4.0,3.8,33,6
E-00037,2024-06-30,4.1,3.8,4.1,3.8,2.8,3.5,3.3,79,4
E-00038,2024-06-30,3.0,3.8,3.6,4.6,2.3,4.2,3.8,14,5
E-00039,2024-06-30,3.3,4.3,4.4,4.2,3.0,4.2,4.2,39,2
E-00040,2024-06-30,4.1,5.0,2.4,4.2,3.3,4.2,3.3,12,7
E-00041,2024-06-30,4.4,4.1,3.3,4.4,2.1,4.8,4.1,85,3
E-00042,2024-06-30,4.1,3.9,3.4,4.2,2.6,3.6,4.3,35,3
E-00043,2024-06-30,3.9,3.9,1.6,3.9,4.5,3.6,3.8,85,6
E-00044,2024-06-30,3.8,4.1,2.7,4.2,3.2,4.2,4.2,43,8
E-00045,2024-06-30,3.3,3.6,2.9,3.9,1.9,3.9,3.9,82,5
E-00046,2024-06-30,3.6,4.1,4.2,4.2,2.2,3.7,4.0,81,6
E-00047,2024-06-30,3.8,4.2,3.0,4.6,3.1,3.9,4.4,31,7
E-00048,2024-06-30,4.5,4.1,2.9,3.7,3.1,3.8,3.2,56,3
E-00049,2024-06-30,4.2,4.2,4.1,3.6,2.6,4.5,3.5,68,9
E-00050,2024-06-30,3.1,4.2,2.4,4.2,4.3,4.7,4.3,82,6
E-00051,2024-06-30,4.2,3.1,2.1,3.9,4.6,3.5,4.4,97,7
E-00052,2024-06-30,3.8,4.3,3.2,4.2,2.8,3.6,3.2,85,9
E-00053,2024-06-30,3.7,3.7,2.5,4.3,3.5,3.8,4.4,85,10
E-00054,2024-06-30,4.3,3.5,2.5,3.3,3.6,3.8,2.8,62,5
E-00055,2024-06-30,4.5,3.4,3.9,4.5,3.6,3.8,4.1,55,6
E-00056,2024-06-30,4.5,4.2,4.1,3.7,2.6,3.9,3.9,64,8
E-00057,2024-06-30,3.6,3.9,4.1,4.2,4.2,3.9,3.5,27,3
E-00058,2024-06-30,3.8,3.2,4.3,3.9,3.0,3.6,3.5,26,5
E-00059,2024-06-30,4.2,4.2,4.4,4.0,3.3,3.7,3.5,49,3
E-00060,2024-06-30,4.5,3.3,2.0,4.9,3.0,4.5,3.7,46,6
E-00061,2024-06-30,3.8,4.1,3.8,4.3,2.9,3.9,4.6,40,2
E-00062,2024-06-30,3.9,4.1,3.1,4.6,3.2,3.9,4.1,18,5
E-00063,2024-06-30,3.4,4.4,3.0,4.3,2.3,3.5,4.4,28,4
E-00064,2024-06-30,3.4,4.9,3.9,4.4,1.8,3.9,3.7,62,5
E-00065,2024-06-30,4.4,3.3,2.3,4.4,2.9,4.3,3.9,51,9
E-00066,2024-06-30,4.7,4.0,2.3,4.3,2.5,4.2,3.4,12,6
E-00067,2024-06-30,4.0,3.9,3.9,4.6,3.3,4.2,3.7,97,1
E-00068,2024-06-30,4.5,4.2,3.8,4.3,3.3,3.6,3.6,45,8
E-00069,2024-06-30,4.2,4.1,3.6,5.1,3.0,3.6,4.0,99,8
E-00070,2024-06-30,3.7,3.8,2.9,4.6,3.9,4.3,3.5,93,5
E-00071,2024-06-30,4.2,3.8,4.0,3.7,3.0,4.2,3.5,87,5
E-00072,2024-06-30,4.8,3.4,4.0,4.1,2.1,3.9,4.0,68,3
E-00073,2024-06-30,4.0,4.5,3.6,4.4,2.9,4.3,3.8,17,9
E-00074,2024-06-30,4.8,4.2,2.7,4.2,3.7,3.6,3.5,62,4
E-00075,2024-06-30,2.7,4.5,3.2,4.5,1.9,3.6,3.5,46,5
E-00076,2024-06-30,4.4,3.8,4.1,4.5,2.9,3.5,3.5,84,5
E-00077,2024-06-30,4.0,3.7,4.4,3.7,3.3,4.1,4.1,79,0
E-00078,2024-06-30,3.9,3.5,3.3,4.7,4.6,4.1,4.0,46,6
E-00079,2024-06-30,4.0,4.2,3.3,4.0,3.7,3.8,3.5,41,10
E-00080,2024-06-30,3.0,3.5,3.4,4.0,3.1,3.8,3.5,42,5
E-00081,2024-06-30,3.9,4.9,3.7,4.0,3.3,4.7,3.3,55,3
E-00082,2024-06-30,4.2,3.3,3.1,4.5,1.9,3.9,3.6,90,6
E-00083,2024-06-30,4.7,4.1,1.5,4.1,2.4,4.4,3.8,70,8
E-00084,2024-06-30,3.7,4.8,4.3,3.9,3.4,4.0,3.4,63,8
E-00085,2024-06-30,3.6,4.3,4.8,4.0,3.1,3.8,4.7,47,6
